event,value,time
coverage,5,10
throughput,26685,10
coverage,5,20
throughput,52732,20
coverage,5,30
throughput,78086,30
coverage,5,40
throughput,103107,40
coverage,5,50
throughput,128777,50
event,value,time
coverage,5,10
throughput,694,10
coverage,5,20
throughput,1763,20
coverage,5,30
throughput,2816,30
coverage,5,40
throughput,3846,40
coverage,7,50
throughput,4412,50
event,value,time
coverage,5,10
throughput,701,10
coverage,5,20
throughput,2052,20
coverage,5,30
throughput,3711,30
event,value,time
coverage,5,10
throughput,720,10
coverage,5,20
throughput,1787,20
coverage,5,30
throughput,2851,30
coverage,5,40
throughput,3911,40
coverage,5,50
throughput,4954,50
coverage,5,60
throughput,7384,60
coverage,5,70
throughput,7974,70
coverage,5,80
throughput,9476,80
coverage,5,90
throughput,10515,90
coverage,5,100
throughput,11563,100
coverage,5,110
throughput,12580,110
coverage,5,121
throughput,13171,121
event,value,time
coverage,5,10
throughput,1154,10
coverage,7,20
throughput,2701,20
coverage,7,30
throughput,3309,30
coverage,7,40
throughput,4207,40
coverage,7,50
throughput,4556,50
coverage,7,60
throughput,5288,60
coverage,7,70
throughput,6341,70
coverage,7,80
throughput,7293,80
coverage,7,90
throughput,8012,90
coverage,7,100
throughput,8932,100
coverage,7,110
throughput,9631,110
coverage,7,121
throughput,10102,121
coverage,7,131
throughput,10324,131
coverage,7,141
throughput,11250,141
coverage,7,151
throughput,11517,151
event,value,time
event,value,time
coverage,5,10
throughput,640,10
coverage,5,20
throughput,1638,20
coverage,5,30
throughput,2148,30
coverage,5,40
throughput,2682,40
coverage,14,50
throughput,3230,50
coverage,16,60
throughput,4548,60
coverage,16,70
throughput,6021,70
coverage,16,80
throughput,8289,80
event,value,time
coverage,5,10
throughput,29337,10
coverage,5,20
throughput,57463,20
coverage,5,30
throughput,82722,30
coverage,5,40
throughput,111232,40
coverage,5,50
throughput,138685,50
event,value,time
coverage,5,10
throughput,188,10
coverage,15,20
throughput,1066,20
coverage,15,30
throughput,1665,30
coverage,15,40
throughput,1944,40
coverage,15,50
throughput,2509,50
event,value,time
coverage,5,10
throughput,27968,10
coverage,5,20
throughput,54663,20
coverage,5,30
throughput,82591,30
coverage,5,40
throughput,108568,40
coverage,5,50
throughput,134410,50
event,value,time
coverage,5,10
throughput,714,10
coverage,12,20
throughput,1301,20
coverage,12,30
throughput,1688,30
coverage,12,40
throughput,2304,40
coverage,15,50
throughput,3287,50
