event,value,time
coverage,5,10
throughput,25811,10
coverage,5,20
throughput,51165,20
coverage,5,30
throughput,75605,30
coverage,5,40
throughput,99355,40
coverage,5,50
throughput,123714,50
event,value,time
coverage,5,10
throughput,25885,10
coverage,5,20
throughput,52791,20
coverage,5,30
throughput,81113,30
coverage,7,40
throughput,106174,40
coverage,7,50
throughput,121639,50
event,value,time
coverage,5,10
throughput,25169,10
coverage,5,20
throughput,50998,20
coverage,5,30
throughput,78106,30
event,value,time
coverage,5,10
throughput,27806,10
coverage,5,20
throughput,53671,20
coverage,5,30
throughput,78604,30
coverage,5,40
throughput,104604,40
coverage,5,50
throughput,131499,50
coverage,5,60
throughput,158970,60
coverage,5,70
throughput,186246,70
coverage,5,80
throughput,213023,80
coverage,5,90
throughput,239278,90
coverage,5,100
throughput,262383,100
coverage,5,110
throughput,284490,110
coverage,5,120
throughput,308848,120
event,value,time
coverage,5,10
throughput,25679,10
coverage,5,20
throughput,51900,20
coverage,5,30
throughput,78989,30
coverage,5,40
throughput,105398,40
coverage,5,50
throughput,132120,50
coverage,5,60
throughput,159359,60
coverage,5,70
throughput,186280,70
coverage,5,80
throughput,213378,80
coverage,5,90
throughput,240251,90
coverage,5,100
throughput,264182,100
coverage,5,110
throughput,288096,110
coverage,5,120
throughput,314769,120
coverage,7,130
throughput,337356,130
event,value,time
coverage,5,10
throughput,26656,10
coverage,7,20
throughput,43324,20
event,value,time
coverage,5,10
throughput,28075,10
coverage,7,20
throughput,54045,20
coverage,7,30
throughput,71552,30
coverage,7,40
throughput,89045,40
coverage,7,50
throughput,106248,50
coverage,7,60
throughput,123143,60
coverage,7,70
throughput,140106,70
coverage,7,80
throughput,156577,80
coverage,7,90
throughput,173927,90
coverage,7,100
throughput,191241,100
coverage,7,110
throughput,208373,110
coverage,7,120
throughput,225428,120
coverage,7,130
throughput,242849,130
coverage,7,140
throughput,260186,140
coverage,7,150
throughput,277222,150
coverage,7,160
throughput,294385,160
coverage,7,170
throughput,311476,170
coverage,7,180
throughput,329003,180
coverage,7,190
throughput,346008,190
coverage,7,200
throughput,363589,200
coverage,7,210
throughput,380804,210
coverage,7,220
throughput,398005,220
coverage,7,230
throughput,415393,230
coverage,7,240
throughput,432519,240
coverage,7,250
throughput,450269,250
coverage,7,260
throughput,467493,260
coverage,7,270
throughput,485043,270
coverage,7,280
throughput,502330,280
coverage,7,290
throughput,519700,290
coverage,7,300
throughput,537629,300
coverage,7,310
throughput,554666,310
event,value,time
coverage,5,10
throughput,26111,10
coverage,5,20
throughput,51183,20
coverage,7,30
throughput,66799,30
coverage,7,40
throughput,82345,40
coverage,7,50
throughput,98142,50
coverage,7,60
throughput,113796,60
coverage,7,70
throughput,129463,70
coverage,7,80
throughput,145297,80
coverage,7,90
throughput,161229,90
coverage,7,100
throughput,177330,100
coverage,7,110
throughput,192772,110
coverage,7,120
throughput,207077,120
coverage,7,130
throughput,219691,130
coverage,7,140
throughput,233442,140
coverage,7,150
throughput,247792,150
event,value,time
event,value,time
coverage,5,10
throughput,25597,10
coverage,5,20
throughput,51025,20
coverage,5,30
throughput,75192,30
coverage,5,40
throughput,101195,40
coverage,14,50
throughput,121045,50
coverage,16,60
throughput,132676,60
coverage,16,70
throughput,144722,70
coverage,16,80
throughput,157077,80
coverage,16,90
throughput,169062,90
event,value,time
coverage,5,10
throughput,28253,10
coverage,5,20
throughput,54853,20
coverage,5,30
throughput,78513,30
coverage,5,40
throughput,105736,40
coverage,5,50
throughput,132198,50
event,value,time
coverage,12,10
throughput,23815,10
coverage,15,20
throughput,37900,20
coverage,15,30
throughput,50878,30
coverage,15,40
throughput,64267,40
coverage,15,50
throughput,76961,50
event,value,time
coverage,5,10
throughput,26793,10
coverage,5,20
throughput,51615,20
coverage,5,30
throughput,79536,30
coverage,5,40
throughput,105450,40
coverage,5,50
throughput,131307,50
event,value,time
coverage,5,10
throughput,27326,10
coverage,12,20
throughput,43309,20
coverage,12,30
throughput,55367,30
coverage,12,40
throughput,66252,40
coverage,15,50
throughput,77412,50
