event,value,time
coverage,5,10
throughput,25366,10
coverage,5,20
throughput,50596,20
coverage,5,30
throughput,74967,30
coverage,5,40
throughput,99360,40
coverage,5,50
throughput,124322,50
event,value,time
coverage,5,10
throughput,27856,10
coverage,5,20
throughput,57062,20
coverage,5,30
throughput,85737,30
coverage,7,40
throughput,112351,40
coverage,7,50
throughput,129212,50
event,value,time
coverage,5,10
throughput,26429,10
coverage,5,20
throughput,52722,20
coverage,5,30
throughput,80359,30
event,value,time
coverage,5,10
throughput,28113,10
coverage,5,20
throughput,54245,20
coverage,5,30
throughput,79473,30
coverage,5,40
throughput,105938,40
coverage,5,50
throughput,133389,50
coverage,5,60
throughput,161292,60
coverage,5,70
throughput,188938,70
coverage,5,80
throughput,216188,80
coverage,5,90
throughput,242906,90
coverage,5,100
throughput,266969,100
coverage,5,110
throughput,291463,110
coverage,5,120
throughput,316248,120
event,value,time
coverage,5,10
throughput,282,10
coverage,5,20
throughput,1340,20
coverage,5,30
throughput,2410,30
coverage,5,40
throughput,3489,40
coverage,5,50
throughput,4540,50
coverage,5,60
throughput,6045,60
coverage,5,70
throughput,6644,70
coverage,5,80
throughput,8169,80
coverage,5,90
throughput,8791,90
coverage,5,100
throughput,9870,100
coverage,5,110
throughput,10939,110
coverage,5,120
throughput,12478,120
coverage,7,131
throughput,13492,131
event,value,time
coverage,5,10
throughput,1181,10
coverage,7,20
throughput,3004,20
event,value,time
coverage,5,10
throughput,1626,10
coverage,7,20
throughput,2697,20
coverage,7,30
throughput,3228,30
coverage,7,40
throughput,4311,40
coverage,7,50
throughput,4935,50
coverage,7,60
throughput,5665,60
coverage,7,70
throughput,6287,70
coverage,7,80
throughput,6913,80
coverage,7,90
throughput,7505,90
coverage,7,100
throughput,8470,100
coverage,7,110
throughput,8738,110
coverage,7,120
throughput,9341,120
coverage,7,130
throughput,10405,130
coverage,7,140
throughput,11030,140
coverage,7,150
throughput,12023,150
coverage,7,160
throughput,12646,160
coverage,7,171
throughput,13274,171
coverage,7,181
throughput,13997,181
coverage,7,191
throughput,14589,191
coverage,7,201
throughput,15657,201
coverage,7,211
throughput,16268,211
coverage,7,221
throughput,16763,221
coverage,7,231
throughput,17388,231
coverage,7,241
throughput,18009,241
coverage,7,251
throughput,18274,251
coverage,7,261
throughput,19227,261
coverage,7,271
throughput,20315,271
coverage,7,281
throughput,21037,281
coverage,7,291
throughput,21994,291
coverage,7,301
throughput,22259,301
coverage,7,311
throughput,22864,311
event,value,time
coverage,5,10
throughput,27274,10
coverage,5,20
throughput,53472,20
coverage,7,30
throughput,69296,30
coverage,7,40
throughput,85196,40
coverage,7,50
throughput,101003,50
coverage,7,60
throughput,117087,60
coverage,7,70
throughput,132996,70
coverage,7,80
throughput,149110,80
coverage,7,90
throughput,165442,90
coverage,7,100
throughput,181932,100
coverage,7,110
throughput,198027,110
coverage,7,120
throughput,213185,120
coverage,7,130
throughput,227007,130
coverage,7,140
throughput,242018,140
coverage,7,150
throughput,256735,150
event,value,time
event,value,time
coverage,5,10
throughput,26292,10
coverage,5,20
throughput,51733,20
coverage,5,30
throughput,75986,30
coverage,5,40
throughput,101931,40
coverage,14,50
throughput,122049,50
coverage,16,60
throughput,134426,60
coverage,16,70
throughput,146506,70
coverage,16,80
throughput,158770,80
coverage,16,90
throughput,171070,90
event,value,time
coverage,5,10
throughput,28902,10
coverage,5,20
throughput,56771,20
coverage,5,30
throughput,82113,30
coverage,5,40
throughput,111467,40
coverage,5,50
throughput,139243,50
event,value,time
coverage,12,10
throughput,24277,10
coverage,15,20
throughput,38156,20
coverage,15,30
throughput,51296,30
coverage,15,40
throughput,64658,40
coverage,15,50
throughput,77852,50
event,value,time
coverage,5,10
throughput,27179,10
coverage,5,20
throughput,53428,20
coverage,5,30
throughput,81669,30
coverage,5,40
throughput,107850,40
coverage,5,50
throughput,133991,50
event,value,time
coverage,5,10
throughput,28574,10
coverage,12,20
throughput,45127,20
coverage,12,30
throughput,57437,30
coverage,12,40
throughput,69190,40
coverage,15,50
throughput,80905,50
